Model,Precision,Recall,Fscore,AUC
LogisticRegression,0.5526932084309133,0.18864908073541167,0.28128724672228844,0.6911234926209633
RandomForestClassifier,0.4799154334038055,0.18145483613109512,0.2633410672853828,0.6637304925066859
MLPClassifier,0.4342857142857143,0.24300559552358114,0.31163505894413124,0.6044279163791556
LogisticRegression cluster 0,0.5,0.3301358912869704,0.39768897448242657,0.6864570184521717
LogisticRegression cluster 1,0.5387673956262425,0.21662669864108713,0.3090079817559863,0.6757905425386863
RandomForestClassifier cluster 0,0.5147392290249433,0.18145483613109512,0.26832151300236406,0.6735054299230678
RandomForestClassifier cluster 1,0.382830626450116,0.2637889688249401,0.31235210601041175,0.548050755466925
MLPClassifier cluster 0,0.4362980769230769,0.290167865707434,0.3485357657225156,0.6162200105321345
MLPClassifier cluster 1,0.26751313485113837,0.48840927258193445,0.3456859971711457,0.40235719754498334
